numero;nom;prenom;dateNaiss;adresse;type-habitation;DEPARTEMENT;REGION
1;Harryson;Gerald;20/02/08;11 rue J Moulin;appt;Ain;Rhone-Alpes
2;Roosevetl;Bil;11/07/20;125 rue Timbaud;maison;Ain;Rhone-Alpes
3;Tyler;Franklin;05/08/94;55 bd CDG;appt;Ain;PACA
4;Jonson;Woodro;;;maison;Ardèeche;Rhone-Alpes
5;Harrison;Woodrow;16/01/89;78 rue Paul Bert;appt;Hautes-Alpes;PACA
6;Truman;William;02/10/94;6 quai Bleriot;;Alpes-Maritimes;PACA
7;Monroe;;17/07/06;;maison;Ardèeche;Rhone-Alpes
8;Grant;Benjamin;20/06/97;4 rue Gaagarine;maison;Ardèche;Rhone-Alpes
9;Truman;Harry;;2 bd H Barbusse;maison;Ardèeche;PACA
10;Harrison;Bill;23/03/90;12 av Versailles;appt;Ardèeche;Rhone-Alpes
